"","Results.index","Time","Counter","Hash","Logged.in.as.experiment.owner...if.known.","Controller.name","Item.number","Element.number","Type","Group","Field.name","Field.value","Sentence..or.sentence.MD5.","Question..NULL.if.none..","Answer","Whether.or.not.answer.was.correct..NULL.if.N.A.","Time.taken.to.answer."
"1",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","Form",1,0,"intro","NULL","Imja","Ирина","","","","",NA
"2",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","Form",1,0,"intro","NULL","Familija","Оборотова","","","","",NA
"3",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","Form",1,0,"intro","NULL","Vozrast","37","","","","",NA
"4",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","Form",1,0,"intro","NULL","Obrazovanie","высшее","","","","",NA
"5",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","Form",1,0,"intro","NULL","Jazyk","","","","","",NA
"6",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","Form",1,0,"intro","NULL","Soglasie","yes","","","","",NA
"7",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","Form",1,0,"intro","NULL","Pol","female","","","","",NA
"8",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","Form",1,0,"intro","NULL","Lingvisticheskoe_obrazovanie","no_ed","","","","",NA
"9",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","Form",1,0,"intro","NULL","_REACTION_TIME_","41038","","","","",NA
"10",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","Form",3,0,"instruction","NULL","_REACTION_TIME_","20935","","","","",NA
"11",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",8,0,"practice","NULL","","","Паша и Коля спят на уроке.","","","",NA
"12",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",8,0,"practice","NULL","","","","NULL","6","NULL",3479
"13",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",9,0,"practice","NULL","","","Максим и я гуляем в парке.","","","",NA
"14",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",9,0,"practice","NULL","","","","NULL","6","NULL",3487
"15",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",10,0,"practice","NULL","","","В окно смотрю я и Витя.","","","",NA
"16",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",10,0,"practice","NULL","","","","NULL","4","NULL",3078
"17",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",11,0,"practice","NULL","","","На парте рисуют Вася и Петя.","","","",NA
"18",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",11,0,"practice","NULL","","","","NULL","5","NULL",2351
"19",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","Form",4,0,"start","NULL","_REACTION_TIME_","2570","","","","",NA
"20",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",292,0,"filler1","NULL","","","Денис и Илья пропылесосим в гостиной.","","","",NA
"21",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",292,0,"filler1","NULL","","","","NULL","2","NULL",2896
"22",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",106,0,"stimulus_pres","12","","","На лестницу встаёт я и Игорь.","","","",NA
"23",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",106,0,"stimulus_pres","12","","","","NULL","1","NULL",2203
"24",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",273,0,"filler1","NULL","","","Володя и Кеша отдыхают на юге.","","","",NA
"25",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",273,0,"filler1","NULL","","","","NULL","7","NULL",2663
"26",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",125,0,"stimulus_fut","15","","","Я и Гриша сядем за стол.","","","",NA
"27",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",125,0,"stimulus_fut","15","","","","NULL","7","NULL",2191
"28",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",274,0,"filler11","NULL","","","По телефону беседуют Яша и Лёша.","","","",NA
"29",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",274,0,"filler11","NULL","","","","NULL","6","NULL",3087
"30",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",134,0,"stimulus_pres","16","","","Я и Гена гуляет в парке.","","","",NA
"31",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",134,0,"stimulus_pres","16","","","","NULL","1","NULL",1960
"32",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",285,0,"filler1","NULL","","","В классе болтаем Кеша и Егор.","","","",NA
"33",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",285,0,"filler1","NULL","","","","NULL","1","NULL",2179
"34",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",33,0,"stimulus_fut","3","","","В зале подметём я и Вова.","","","",NA
"35",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",33,0,"stimulus_fut","3","","","","NULL","6","NULL",2905
"36",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",287,0,"filler11","NULL","","","В комнату вбегаем Никита и Вася.","","","",NA
"37",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",287,0,"filler11","NULL","","","","NULL","4","NULL",4640
"38",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",52,0,"stimulus_pres","6","","","Я и Влад бегаю на стадионе.","","","",NA
"39",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",52,0,"stimulus_pres","6","","","","NULL","4","NULL",3611
"40",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",268,0,"fillerq","NULL","","","Петя и Вася ходят в школу.","","","",NA
"41",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",268,0,"fillerq","NULL","","","","NULL","7","NULL",2959
"42",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","Question",268,1,"fillerq","NULL","","","","Куда ходят Петя и Вася?","В школу","1",3425
"43",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",115,0,"stimulus_fut","13","","","На банкете споют я и Данила.","","","",NA
"44",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",115,0,"stimulus_fut","13","","","","NULL","3","NULL",7422
"45",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",272,0,"filler1","NULL","","","В Москве живут Ваня и Коля.","","","",NA
"46",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",272,0,"filler1","NULL","","","","NULL","7","NULL",3756
"47",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",70,0,"stimulus_pres","8","","","Я и Костя работает в больнице.","","","",NA
"48",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",70,0,"stimulus_pres","8","","","","NULL","1","NULL",1767
"49",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",295,0,"filler11","NULL","","","В прорубь нырнём Вова и Серёжа.","","","",NA
"50",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",295,0,"filler11","NULL","","","","NULL","1","NULL",2335
"51",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",15,0,"stimulus_fut","1","","","Я и Вася придут на вечеринку.","","","",NA
"52",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",15,0,"stimulus_fut","1","","","","NULL","1","NULL",1606
"53",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",293,0,"filler1","NULL","","","На улице поговорим Максим и Гена.","","","",NA
"54",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",293,0,"filler1","NULL","","","","NULL","1","NULL",1871
"55",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",88,0,"stimulus_pres","10","","","На балконе курю я и Митя.","","","",NA
"56",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",88,0,"stimulus_pres","10","","","","NULL","5","NULL",3441
"57",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",278,0,"filler1","NULL","","","Гриша и Слава пойдут на дискотеку.","","","",NA
"58",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",278,0,"filler1","NULL","","","","NULL","7","NULL",1806
"59",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",97,0,"stimulus_fut","11","","","В прихожей подождём я и Кирилл.","","","",NA
"60",0,"2021-05-07T10:06:49Z",11,"Iizxc+KqVbHsFV+ODXcqxA","no","AcceptabilityJudgment",97,0,"stimulus_fut","11","","","","NULL","6","NULL",4429
