"","Results.index","Time","Counter","Hash","Logged.in.as.experiment.owner...if.known.","Controller.name","Item.number","Element.number","Type","Group","Field.name","Field.value","Sentence..or.sentence.MD5.","Question..NULL.if.none..","Answer","Whether.or.not.answer.was.correct..NULL.if.N.A.","Time.taken.to.answer."
"1",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","Form",1,0,"intro","NULL","Imja","Максим","","","","",NA
"2",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","Form",1,0,"intro","NULL","Familija","Дегтярёв","","","","",NA
"3",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","Form",1,0,"intro","NULL","Vozrast","26","","","","",NA
"4",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","Form",1,0,"intro","NULL","Obrazovanie","высшее","","","","",NA
"5",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","Form",1,0,"intro","NULL","Jazyk","","","","","",NA
"6",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","Form",1,0,"intro","NULL","Soglasie","yes","","","","",NA
"7",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","Form",1,0,"intro","NULL","Pol","male","","","","",NA
"8",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","Form",1,0,"intro","NULL","Lingvisticheskoe_obrazovanie","no_ed","","","","",NA
"9",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","Form",1,0,"intro","NULL","_REACTION_TIME_","31896","","","","",NA
"10",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","Form",3,0,"instruction","NULL","_REACTION_TIME_","2288","","","","",NA
"11",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",8,0,"practice","NULL","","","Паша и Коля спали на уроке.","","","",NA
"12",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",8,0,"practice","NULL","","","","NULL","7","NULL",3250
"13",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",9,0,"practice","NULL","","","На парте рисовал Вася и Петя.","","","",NA
"14",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",9,0,"practice","NULL","","","","NULL","1","NULL",2731
"15",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",10,0,"practice","NULL","","","Максим и я гуляли в парке.","","","",NA
"16",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",10,0,"practice","NULL","","","","NULL","7","NULL",1707
"17",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",11,0,"practice","NULL","","","В окно смотрел я и Витя.","","","",NA
"18",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",11,0,"practice","NULL","","","","NULL","2","NULL",8299
"19",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","Form",4,0,"start","NULL","_REACTION_TIME_","1720","","","","",NA
"20",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",84,0,"filler1_ungr","NULL","","","Андрей и Коля ушли по киоск.","","","",NA
"21",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",84,0,"filler1_ungr","NULL","","","","NULL","1","NULL",2628
"22",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",41,0,"stimulus_imperf","8","","","Я и Яша сидели в кафе.","","","",NA
"23",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",41,0,"stimulus_imperf","8","","","","NULL","7","NULL",2003
"24",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",79,0,"filler1_gram","NULL","","","На машине ездили Илья и Лёва.","","","",NA
"25",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",79,0,"filler1_gram","NULL","","","","NULL","7","NULL",1686
"26",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",30,0,"stimulus_perf","5","","","До финиша доплыл я и Вадим.","","","",NA
"27",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",30,0,"stimulus_perf","5","","","","NULL","2","NULL",5868
"28",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",87,0,"filler1_ungr","NULL","","","В улице разговаривали Максим и Гена.","","","",NA
"29",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",87,0,"filler1_ungr","NULL","","","","NULL","1","NULL",1614
"30",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",25,0,"stimulus_imperf","4","","","Я и Володя стояли на мосту.","","","",NA
"31",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",25,0,"stimulus_imperf","4","","","","NULL","7","NULL",2000
"32",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",78,0,"filler1_gram","NULL","","","Володя и Кеша отдыхали на юге.","","","",NA
"33",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",78,0,"filler1_gram","NULL","","","","NULL","7","NULL",1315
"34",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",36,0,"stimulus_perf","7","","","Я и Данила спел на банкете.","","","",NA
"35",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",36,0,"stimulus_perf","7","","","","NULL","1","NULL",1970
"36",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",85,0,"filler1_ungr","NULL","","","На коридоре болтали Кеша и Егор.","","","",NA
"37",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",85,0,"filler1_ungr","NULL","","","","NULL","1","NULL",1056
"38",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",35,0,"stimulus_imperf","6","","","В машине ждали я и Лёва.","","","",NA
"39",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",35,0,"stimulus_imperf","6","","","","NULL","7","NULL",2261
"40",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",77,0,"filler1_gram","NULL","","","В Москве жили Ваня и Коля.","","","",NA
"41",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",77,0,"filler1_gram","NULL","","","","NULL","7","NULL",1303
"42",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",20,0,"stimulus_perf","3","","","Я и Никита сыграл в спектакле.","","","",NA
"43",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",20,0,"stimulus_perf","3","","","","NULL","1","NULL",2737
"44",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",86,0,"filler1_ungr","NULL","","","Кирилл и Федя бродили на лес.","","","",NA
"45",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",86,0,"filler1_ungr","NULL","","","","NULL","1","NULL",1562
"46",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",19,0,"stimulus_imperf","2","","","На кухне подметали я и Ваня.","","","",NA
"47",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",19,0,"stimulus_imperf","2","","","","NULL","6","NULL",2092
"48",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",76,0,"filler1_gram","NULL","","","Петя и Вася ходили в школу.","","","",NA
"49",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",76,0,"filler1_gram","NULL","","","","NULL","7","NULL",1676
"50",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",14,0,"stimulus_perf","1","","","На вечеринку пришёл я и Вася.","","","",NA
"51",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",14,0,"stimulus_perf","1","","","","NULL","5","NULL",3159
"52",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","Form",5,0,"break","NULL","_REACTION_TIME_","1483","","","","",NA
"53",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",82,0,"filler2_gram","NULL","","","Лёша и Вася заплатили в кассе.","","","",NA
"54",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",82,0,"filler2_gram","NULL","","","","NULL","6","NULL",3822
"55",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",57,0,"stimulus2_perf","12","","","Я и Дима постояли в коридоре.","","","",NA
"56",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",57,0,"stimulus2_perf","12","","","","NULL","7","NULL",3424
"57",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",91,0,"filler2_ungr","NULL","","","Под опушку добрели Федя и Митя.","","","",NA
"58",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",91,0,"filler2_ungr","NULL","","","","NULL","1","NULL",1914
"59",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",62,0,"stimulus2_imperf","13","","","В бассейне плавал я и Андрей.","","","",NA
"60",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",62,0,"stimulus2_imperf","13","","","","NULL","3","NULL",6659
"61",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",81,0,"filler2_gram","NULL","","","В университет поступили Лёва и Денис.","","","",NA
"62",0,"2021-05-06T12:57:43Z",6,"S+S99Qk/SkTzejNbyc0CCA","no","AcceptabilityJudgment",81,0,"filler2_gram","NULL","","","","NULL","7","NULL",5694
